player,position,team,age,club,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Aimen Dahmen,GK,Tunisia,25-324,CS Sfaxien,1997,3,3,270,3.0,1,0.33,10,9,90.0,1,1,1,2,66.7,0,0,0,0,,0,0,0,2.4,0.24,1.4,0.46,15,41,36.6,59,7,49.2,39.9,18,66.7,51.1,52,0,0.0,0,0.0,12.0
Alireza Beiranvand,GK,IR Iran,30-088,Persepolis,1992,2,2,109,1.2,1,0.83,5,4,80.0,0,0,1,0,0.0,0,0,0,0,,0,0,0,1.8,0.35,0.8,0.64,5,16,31.3,22,3,40.9,33.5,9,77.8,53.1,19,0,0.0,0,0.0,4.7
Alisson,GK,Brazil,30-077,Liverpool,1992,4,4,379,4.2,2,0.47,7,5,71.4,2,1,0,2,50.0,0,0,0,0,,0,0,0,1.9,0.28,-0.1,-0.02,5,14,35.7,74,12,13.5,23.4,19,21.1,25.6,44,0,0.0,7,1.81,22.0
Andries Noppert,GK,Netherlands,28-255,Heerenveen,1994,5,5,480,5.3,4,0.75,22,18,86.4,3,2,0,2,40.0,1,1,0,0,0.0,0,0,0,6.5,0.25,2.5,0.5,22,55,40.0,152,34,25.7,29.2,40,40.0,35.7,63,6,9.5,5,1.0,13.3
André Onana,GK,Cameroon,26-260,Inter,1996,1,1,80,0.9,1,1.13,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,0,0,0,0.9,0.31,-0.1,-0.06,6,20,30.0,50,6,36.0,31.0,9,22.2,28.6,17,0,0.0,0,0.0,13.0
Danny Ward,GK,Wales,29-179,Leicester City,1993,2,1,94,1.0,5,4.79,9,4,44.4,0,0,1,0,0.0,0,0,0,0,,1,0,0,3.4,0.38,-1.6,-1.49,12,27,44.4,30,2,60.0,38.7,9,100.0,63.1,14,1,7.1,1,0.96,12.8
Devis Epassy,GK,Cameroon,29-319,Abha,1993,2,2,180,2.0,3,1.5,12,9,75.0,1,1,0,1,50.0,0,0,0,0,,0,0,0,4.0,0.33,1.0,0.5,23,47,48.9,58,11,48.3,38.3,25,76.0,53.4,40,3,7.5,0,0.0,8.2
Diogo Costa,GK,Portugal,23-090,Porto,1999,5,5,450,5.0,6,1.2,17,11,64.7,3,0,2,1,20.0,0,0,0,0,,0,2,0,6.0,0.35,0.0,-0.01,13,52,25.0,123,22,31.7,33.2,35,37.1,39.6,47,3,6.4,8,1.6,15.9
Dominik Livaković,GK,Croatia,27-343,Dinamo Zagreb,1995,7,7,690,7.7,7,0.91,31,24,80.6,2,4,1,2,28.6,1,1,0,0,0.0,0,1,0,10.5,0.31,3.5,0.5,31,63,49.2,178,46,24.2,26.7,50,40.0,34.9,99,8,8.1,3,0.43,10.8
Ederson,GK,Brazil,29-123,Manchester City,1993,1,1,90,1.0,1,1.0,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,0,0,0,1.2,0.39,0.2,0.18,3,4,75.0,25,10,12.0,25.8,6,16.7,29.8,8,0,0.0,2,2.0,15.5
Edouard Mendy,GK,Senegal,30-292,Chelsea,1992,4,4,360,4.0,7,1.75,14,7,50.0,2,0,2,0,0.0,0,0,0,0,,0,1,0,5.4,0.41,-1.6,-0.41,15,44,34.1,94,15,39.4,35.5,26,26.9,30.1,64,3,4.7,2,0.5,11.8
Emiliano Martínez,GK,Argentina,30-107,Aston Villa,1992,7,7,690,7.7,8,1.04,13,6,53.8,4,2,1,3,42.9,2,2,0,0,0.0,0,0,1,5.4,0.26,-1.6,-0.22,15,78,19.2,147,34,38.8,34.4,39,53.8,46.0,87,12,13.8,4,0.57,12.1
